ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Response
5524,1957,Graduation,Single,58138,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,1
2174,1954,Graduation,Single,46344,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0
4141,1965,PhD,Together,71613,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0
6182,1984,PhD,Married,26646,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0
5324,1981,Graduation,Single,58293,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,1
7446,1967,Master,Married,62513,0,1,2014-01-30,16,520,33,112,30,25,73,3,6,4,10,6,0
965,1971,PhD,Divorced,55635,0,1,2012-11-24,34,235,65,164,50,49,35,4,3,3,6,5,0
6177,1985,Master,Single,33454,1,0,2013-10-10,32,76,10,56,3,1,23,2,4,0,7,6,0
4855,1974,Basic,Married,30351,1,0,2014-06-17,19,14,0,24,3,3,2,1,3,2,4,6,0
5899,1950,Graduation,Together,5648,1,1,2013-03-28,68,28,0,6,1,1,6,1,1,0,3,6,0
3182,1982,Graduation,Married,7500,0,0,2012-11-03,11,6,2,3,1,1,6,1,1,0,2,6,0
2569,1957,Graduation,Together,51674,0,1,2014-01-11,59,194,61,234,59,44,38,3,3,3,10,4,0
2114,1946,Graduation,Married,65324,0,1,2014-03-16,82,233,14,101,10,3,24,2,5,5,7,6,1
9736,1970,PhD,Divorced,55686,1,1,2012-11-19,53,30,0,24,3,3,5,2,2,0,6,6,0
4933,1976,Master,Married,44798,1,0,2013-11-15,38,30,3,34,6,1,2,1,1,1,4,6,0
6565,1977,Graduation,Single,56260,0,0,2014-06-13,25,89,24,80,16,6,6,1,4,2,9,5,1
2278,1981,Graduation,Together,51535,1,0,2012-10-10,46,124,31,105,20,9,9,4,4,3,7,6,0
5185,1950,PhD,Widow,65308,0,1,2013-07-12,34,232,25,112,36,15,73,2,6,5,8,4,1
7505,1946,Graduation,Together,51864,0,1,2014-06-30,91,30,0,12,3,1,4,1,1,0,4,6,0
580,1957,PhD,Together,66602,0,1,2012-10-17,53,203,23,108,17,5,17,3,4,3,8,4,0
